ရက်စွဲ,စချိန်,ဆုံးချိန်,Shift,စုစုပေါင်းမိနစ်,Break မိနစ်,လုပ်ငန်းမိနစ်,ပုံမှန်နာရီ,OT နာရီ,ညOT နာရီ,စုစုပေါင်းလစာ,ပုံမှန်လစာ,OT လစာ,ညOT လစာ
2025-07-08,16:35,03:00,C342,625,65,560,7.58,0.0,1.75,20518.75,15925.0,0.0,4593.75
2025-07-08,06:20,15:00,C341,520,75,445,7.42,0.0,0.0,15575.0,15575.0,0.0,0.0
2025-07-08,16:35,05:00,C342,745,65,680,7.58,0.0,3.75,25768.75,15925.0,0.0,9843.75
2025-07-08,16:35,02:00,C342,565,65,500,7.58,0.0,0.75,17893.75,15925.0,0.0,1968.75
2025-07-08,06:20,13:00,C341,400,55,345,5.75,0.0,0.0,12075.0,12075.0,0.0,0.0
